Date,Description,Amount,Category,Account
2024-01-01,Salary Deposit,4500.00,Salary,Checking
2024-01-02,Rent Payment,-1800.00,Housing,Checking
2024-01-03,Grocery Store,-89.45,Groceries,Credit Card
2024-01-04,Starbucks Coffee,-5.75,Food & Dining,Credit Card
2024-01-05,Gas Station,-52.30,Transportation,Credit Card
2024-01-08,Netflix Subscription,-15.99,Entertainment,Credit Card
2024-01-10,Electric Bill,-125.67,Utilities,Checking
2024-01-12,Restaurant Lunch,-34.50,Food & Dining,Credit Card
2024-01-15,Freelance Project,800.00,Freelance,Checking
2024-01-16,Amazon Purchase,-67.99,Shopping,Credit Card
2024-01-18,Gym Membership,-49.99,Health & Fitness,Checking
2024-01-20,Whole Foods,-112.34,Groceries,Credit Card
2024-01-22,Movie Theater,-28.50,Entertainment,Credit Card
2024-01-25,Stock Dividend,150.00,Investment,Investment
2024-01-28,Phone Bill,-85.00,Utilities,Checking
2024-01-30,Coffee Shop,-4.25,Food & Dining,Credit Card
2024-02-01,Salary Deposit,4500.00,Salary,Checking
2024-02-02,Rent Payment,-1800.00,Housing,Checking
2024-02-03,Internet Bill,-65.99,Utilities,Checking
2024-02-05,Uber Ride,-18.75,Transportation,Credit Card
2024-02-07,Pharmacy,-23.67,Health & Fitness,Credit Card
2024-02-10,Grocery Shopping,-95.23,Groceries,Credit Card
2024-02-12,Restaurant Dinner,-78.90,Food & Dining,Credit Card
2024-02-14,Valentine's Gifts,-156.78,Shopping,Credit Card
2024-02-16,Spotify Premium,-9.99,Entertainment,Credit Card
2024-02-18,Freelance Payment,650.00,Freelance,Checking
2024-02-20,Car Insurance,-120.00,Transportation,Checking
2024-02-22,Target Shopping,-89.45,Shopping,Credit Card
2024-02-25,Investment Return,234.67,Investment,Investment
2024-02-28,Coffee Meeting,-12.50,Food & Dining,Credit Card
2024-03-01,Salary Deposit,4500.00,Salary,Checking
2024-03-02,Rent Payment,-1800.00,Housing,Checking
2024-03-04,Costco Shopping,-167.89,Groceries,Credit Card
2024-03-06,Gas Station,-48.90,Transportation,Credit Card
2024-03-08,Water Bill,-45.30,Utilities,Checking
2024-03-10,Lunch with Friends,-56.80,Food & Dining,Credit Card
2024-03-12,Online Course,-99.00,Education,Credit Card
2024-03-15,Bonus Payment,1000.00,Bonus,Checking
2024-03-18,Car Repair,-450.00,Transportation,Checking
2024-03-20,Grocery Store,-78.45,Groceries,Credit Card
2024-03-22,Concert Tickets,-125.00,Entertainment,Credit Card
2024-03-25,Clothing Store,-234.56,Shopping,Credit Card
2024-03-28,Doctor Visit,-150.00,Health & Fitness,Checking
2024-03-30,Coffee Shop,-6.75,Food & Dining,Credit Card
2024-04-01,Salary Deposit,4500.00,Salary,Checking
2024-04-02,Rent Payment,-1800.00,Housing,Checking
2024-04-04,Easter Dinner,-145.67,Food & Dining,Credit Card
2024-04-06,Book Purchase,-45.99,Education,Credit Card
2024-04-08,Gas Station,-55.20,Transportation,Credit Card
2024-04-10,Grocery Shopping,-89.34,Groceries,Credit Card
2024-04-12,Streaming Service,-12.99,Entertainment,Credit Card
2024-04-15,Consulting Fee,750.00,Freelance,Checking
2024-04-18,Home Depot,-234.78,Home Improvement,Credit Card
2024-04-20,Restaurant,-67.89,Food & Dining,Credit Card
2024-04-22,Yoga Classes,-80.00,Health & Fitness,Checking
2024-04-25,Stock Sale,500.00,Investment,Investment
2024-04-28,Coffee Shop,-5.50,Food & Dining,Credit Card
2024-04-30,Monthly Parking,-150.00,Transportation,Checking
2024-05-01,Salary Deposit,4500.00,Salary,Checking
2024-05-02,Rent Payment,-1800.00,Housing,Checking
2024-05-05,Mother's Day Gift,-89.99,Shopping,Credit Card
2024-05-08,Grocery Store,-112.45,Groceries,Credit Card
2024-05-10,Electric Bill,-135.89,Utilities,Checking
2024-05-12,Lunch Meeting,-45.60,Food & Dining,Credit Card
2024-05-15,Side Project,900.00,Freelance,Checking
2024-05-18,Car Wash,-25.00,Transportation,Credit Card
2024-05-20,Weekend Getaway,-456.78,Travel,Credit Card
2024-05-22,Grocery Shopping,-67.89,Groceries,Credit Card
2024-05-25,Investment Dividend,180.00,Investment,Investment
2024-05-28,Coffee Date,-8.75,Food & Dining,Credit Card
2024-05-30,Phone Upgrade,-299.99,Shopping,Credit Card